Card_ID,Region,Card Name,Issuer,Annual Fee,Min Income,Credit Limit,Cashback %,Reward Rate,Reward Type,Category,Foreign Transaction Fee,Lounge Access,Joining Bonus,Spend Requirement,Key Benefits,Best For
CC001,India,Scotiabank Card 1,Scotiabank,₹1999,₹6L,$5K-$20K,10%,1X,Cashback,Shopping,3.00%,Yes,None,$3K,High retail cashback,Everyday spending
CC002,Australia,Amex Card 2,Amex,₹5000,₹10L,₹1L-5L,3%,4X,Cashback,Lifestyle,2.00%,Yes,5000 pts,$3K,Multiplier rewards,Lifestyle
CC003,UK,ANZ Card 3,ANZ,₹5000,₹6L,₹1L-5L,5%,6X,Miles,Travel,2.00%,No,10000 pts,₹1L,International travel miles,Frequent flyers
CC004,Singapore,Axis Card 4,Axis,$95,₹2L,$5K-$20K,3%,6X,Miles,Travel,3.50%,No,5000 pts,₹1L,Entry-level travel perks,Travel
CC005,USA,Amex Card 5,Amex,$0,$50K,$5K-$20K,5%,4X,Cashback,Shopping,3.50%,No,None,₹1L,No-fee diverse cashback,Budget shoppers
CC081,India,Amazon Pay ICICI,ICICI,₹0,Refer to Issuer,Based on Profile,2.00%,5.00%,Cashback,Shopping,1.99%,No,₹250 cashback,Lifetime Free,5% Unlimited for Prime,Amazon shoppers
CC082,India,SBI Cashback,SBI,₹999,Refer to Issuer,Based on Profile,1.00%,5.00%,Cashback,Cashback,3.50%,No,₹2k@₹2L spend,₹2 Lakhs/year,5% Unlimited online cashback,Online shopping
CC083,USA,Citi Double Cash,Citi,$0,Refer to Issuer,Based on Profile,0.00%,2.00%,Cashback,Cashback,3.00%,No,Travel upgrade,N/A,1% on buy + 1% on pay,General spending
CC085,India,Axis ACE,Axis,₹499,Refer to Issuer,Based on Profile,2.00%,5.00%,Cashback,Cashback,3.50%,4 domestic/yr,Check Terms,₹2 Lakhs/year,5% on GPay Bills,Bill payments
CC087,India,HDFC Infinia,HDFC,₹12.5k,Refer to Issuer,Based on Profile,1.67%,5X,Points,Ultra-Premium,2.00%,Unlimited,25k@₹8L,₹10 Lakhs/year,Global concierge and lounge,High spenders
CC088,USA,Chase Sapphire Preferred,Chase,$95,Refer to Issuer,Based on Profile,1.00%,3X,Points,Travel,0.00%,10 Priority Pass,60k signup,$4000/3 mo,1:1 Point Transfer,Travel rewards
CC090,India,Axis Magnus,Axis,₹11k,Refer to Issuer,Based on Profile,6.00%,12X,Points,Premium,2.00%,Unlimited,25k@₹15L,₹25 Lakhs/year,High reward accrual,Travel+luxury
